car,price,body,mileage,engV,engType,registration,year,drive
BMW,60500.0,Sedan,110,3.0,Diesel,yes,2011,Full
Audi,42700.0,Crossover,75,3.0,Diesel,yes,2013,Full
Mazda,10500.0,Sedan,190,1.8,Petrol,yes,2008,Front
Mercedes-Benz,10150.0,Other,190,2.2,Diesel,yes,2008,Rear
Geely,7000.0,Hatch,100,1.8,Gas,yes,2011,Front
Mercedes-Benz,5800.0,Sedan,231,2.2,Petrol,yes,1994,Rear
Smart,7200.0,Other,53,1.0,Petrol,yes,2012,Rear
BMW,22900.0,Other,25,3.0,Petrol,yes,2008,Rear
VAZ,926.25,Sedan,40,1.6,Gas,yes,1986,Rear
Opel,6200.0,Van,220,1.7,Diesel,yes,2007,Front
Mercedes-Benz,3300.0,Sedan,200,2.7,Diesel,no,2000,Rear
Audi,81500.0,Sedan,0,3.0,Petrol,yes,2016,Full
Hyundai,19900.0,Sedan,15,1.6,Petrol,yes,2016,Front
Hyundai,9700.0,Crossover,130,2.0,Gas,yes,2007,Full
Lexus,0.0,Crossover,0,4.5,Diesel,yes,2016,Full
BMW,3099.0,Sedan,230,3.0,Diesel,no,2003,Rear
Volkswagen,5000.0,Van,326,2.4,Diesel,yes,1995,Front
Nissan,25000.0,Crossover,67,2.0,Diesel,yes,2014,Full
Mitsubishi,4800.0,Sedan,247,2.0,Gas,yes,1998,Front
Lexus,17000.0,Sedan,130,3.5,Petrol,yes,2006,Front
Opel,7999.0,Vagon,37,1.4,Petrol,yes,2008,Front
Mercedes-Benz,40500.0,Sedan,39,2.2,Diesel,yes,2015,Rear
Mitsubishi,5700.0,Other,230,2.0,Petrol,yes,2003,Unknown
Skoda,12700.0,Sedan,77,1.6,Diesel,yes,2013,Front
BMW,8300.0,Sedan,200,4.4,Petrol,yes,2001,Rear
Ford,6600.0,Hatch,125,1.6,Petrol,yes,2007,Front
Renault,0.0,Van,192,99.99,Diesel,yes,2011,Front
BMW,2999.0,Sedan,299,2.65,Diesel,no,2000,Rear
Mitsubishi,40990.0,Crossover,0,2.4,Diesel,yes,2016,Full
Hyundai,14200.0,Sedan,41,1.8,Gas,yes,2014,Front
Skoda,11300.0,Sedan,110,1.6,Petrol,yes,2011,Front
Mitsubishi,12750.0,Sedan,59,2.4,Petrol,yes,2009,Front
Volkswagen,0.0,Other,197,2.0,Diesel,no,2011,Front
Renault,7900.0,Van,268,1.5,Diesel,yes,2008,Front
Audi,44800.0,Crossover,100,3.0,Diesel,yes,2014,Full
Honda,15700.0,Crossover,129,2.0,Petrol,yes,2008,Full
BMW,6100.0,Sedan,266,3.5,Petrol,no,1997,Rear
BMW,13900.0,Sedan,262,4.0,Diesel,yes,2003,Rear
Geely,9500.0,Sedan,61,1.8,Gas,yes,2014,Front
Mitsubishi,9700.0,Sedan,120,2.4,Gas,yes,2006,Front
Renault,6900.0,Van,140,1.5,Diesel,yes,2012,Front
Mitsubishi,8500.0,Sedan,116,1.5,Petrol,yes,2008,Front
Nissan,5000.0,Other,200,1.8,Petrol,yes,1999,Front
Mercedes-Benz,6400.0,Van,290,2.2,Diesel,yes,1999,Front
Opel,2450.0,Crossover,278,2.3,Diesel,no,1996,Full
BMW,8500.0,Sedan,365,3.0,Diesel,yes,2001,Rear
Peugeot,5700.0,Hatch,250,1.4,Gas,yes,2008,Front
Renault,9000.0,Vagon,178,2.0,Petrol,yes,2008,Front
Opel,0.0,Van,162,2.0,Diesel,yes,2012,Front
Jeep,34900.0,Crossover,74,6.1,Petrol,yes,2006,Full
Toyota,18100.0,Hatch,30,1.6,Petrol,yes,2013,Front
Daewoo,3100.0,Hatch,70,0.8,Petrol,yes,2009,Front
Ford,12999.0,Hatch,35,1.6,Gas,yes,2013,Front
BMW,21900.0,Other,25,2.5,Petrol,yes,2007,Rear
MINI,20000.0,Hatch,80,1.6,Petrol,yes,2012,Front
Hyundai,21433.425,Crossover,1,2.0,Petrol,yes,2016,Front
Volvo,7900.0,Sedan,230,2.4,Petrol,yes,2006,Front
Kia,9000.0,Sedan,170,2.7,Gas,yes,2007,Front
Smart,10250.0,Other,37,1.0,Petrol,yes,2014,Rear
Volkswagen,47777.0,Sedan,91,3.0,Diesel,yes,2012,Full
Kia,19300.0,Crossover,117,2.65,Gas,yes,2012,Full
Audi,33300.0,Crossover,71,2.0,Petrol,yes,2011,Full
Ford,12900.0,Van,160,2.65,Diesel,yes,2014,Rear
BMW,6300.0,Sedan,241,2.8,Gas,yes,1995,Rear
Chevrolet,11990.0,Hatch,40,1.8,Gas,yes,2012,Front
BMW,24000.0,Crossover,108,2.0,Diesel,yes,2012,Full
Hyundai,12300.0,Sedan,48,1.6,Petrol,yes,2013,Front
Audi,4000.0,Sedan,260,99.99,Diesel,no,2000,Full
Mercedes-Benz,31669.0,Hatch,2,2.65,Other,yes,2015,Unknown
Citroen,7450.0,Other,102,1.6,Diesel,yes,2011,Front
Ford,20000.0,Other,80,4.0,Petrol,yes,2008,Rear
Hyundai,11500.0,Crossover,48,2.65,Petrol,yes,2007,Unknown
Hyundai,23500.0,Sedan,72,3.0,Petrol,yes,2013,Front
VAZ,3300.0,Other,19,2.65,Other,yes,2007,Rear
ZAZ,643.0,Hatch,65,1.2,Gas,yes,1992,Front
Opel,1950.0,Vagon,240,2.0,Diesel,no,2001,Front
BMW,4500.0,Sedan,370,4.0,Petrol,yes,1993,Rear
Skoda,11300.0,Sedan,70,1.8,Petrol,yes,2008,Front
Daewoo,3900.0,Hatch,59,0.8,Petrol,yes,2008,Front
Mitsubishi,12999.0,Crossover,111,3.0,Gas,yes,2008,Full
Renault,9000.0,Van,158,2.0,Diesel,yes,2012,Front
Mercedes-Benz,29500.0,Sedan,135,5.5,Petrol,yes,2008,Full
Volkswagen,72000.0,Crossover,0,3.0,Diesel,yes,2016,Full
Hyundai,7100.0,Hatch,88,1.4,Petrol,yes,2008,Front
Nissan,6600.0,Crossover,180,2.0,Petrol,yes,2003,Full
Volkswagen,18300.0,Van,1,2.2,Diesel,yes,2013,Front
Volkswagen,19999.0,Other,48,2.0,Diesel,yes,2012,Unknown
Daewoo,3350.0,Sedan,157,1.4,Gas,yes,2007,Front
Audi,13900.0,Sedan,150,2.65,Petrol,yes,2006,Full
Toyota,24900.0,Sedan,30,2.5,Petrol,yes,2014,Front
Suzuki,7500.0,Hatch,97,1.3,Petrol,yes,2006,Front
Renault,10800.0,Other,206,2.0,Diesel,yes,2008,Front
Mercedes-Benz,3100.0,Vagon,400,2.2,Diesel,no,2002,Front
Renault,7100.0,Van,135,1.5,Diesel,yes,2013,Front
Audi,8500.0,Sedan,247,2.5,Diesel,yes,2001,Front
Renault,8300.0,Van,137,1.5,Diesel,yes,2014,Front
Skoda,12999.0,Sedan,165,1.8,Petrol,yes,2009,Front
Mitsubishi,10500.0,Crossover,187,2.4,Gas,yes,2008,Full
Honda,10300.0,Sedan,150,2.0,Gas,yes,2007,Front
Citroen,4000.0,Van,168,1.6,Diesel,yes,2009,Front
Renault,6999.0,Van,173,1.5,Diesel,yes,2006,Front
Mercedes-Benz,7650.0,Sedan,340,5.0,Gas,yes,1997,Rear
Honda,15300.0,Crossover,97,2.0,Gas,yes,2009,Full
Renault,5800.0,Van,159,1.5,Diesel,yes,2007,Front
Hyundai,9900.0,Crossover,140,2.0,Gas,yes,2007,Full
BMW,77777.0,Sedan,8,4.4,Petrol,yes,2014,Full
Chevrolet,11100.0,Sedan,83,1.8,Petrol,yes,2011,Front
Renault,6800.0,Van,168,1.5,Diesel,yes,2012,Front
Ford,2500.0,Van,1,2.5,Diesel,yes,1989,Rear
Audi,11950.0,Sedan,190,3.0,Petrol,yes,2006,Full
Porsche,21900.0,Crossover,140,3.6,Petrol,yes,2009,Full
Chery,3000.0,Hatch,55,1.1,Petrol,yes,2010,Front
BMW,7200.0,Sedan,270,3.0,Diesel,no,2004,Rear
Volkswagen,29600.0,Sedan,11,1.4,Petrol,yes,2016,Front
Lexus,14999.0,Crossover,141,3.0,Gas,yes,2004,Full
Peugeot,6799.0,Other,126,1.6,Diesel,yes,2009,Front
Mercedes-Benz,3800.0,Van,462,2.2,Diesel,no,2001,Rear
Ford,11400.0,Sedan,58,1.6,Petrol,yes,2013,Front
Mercedes-Benz,18000.0,Sedan,99,1.8,Petrol,yes,2008,Rear
BMW,38888.0,Vagon,5,0.65,Other,yes,2015,Rear
Volkswagen,16500.0,Sedan,87,2.65,Other,yes,2012,Front
Honda,2900.0,Sedan,290,2.0,Petrol,yes,1988,Front
BMW,6950.0,Sedan,320,4.4,Gas,yes,1997,Rear
Subaru,10000.0,Vagon,165,2.5,Gas,yes,2007,Full
VAZ,2300.0,Sedan,121,1.5,Gas,yes,2006,Rear
Honda,12500.0,Other,112,2.4,Petrol,yes,2008,Front
Hyundai,12356.175,Sedan,1,1.4,Petrol,yes,2015,Front
Mitsubishi,22711.65,Crossover,1,2.0,Petrol,yes,2016,Full
Lexus,123000.0,Crossover,1,4.5,Diesel,yes,2016,Full
Skoda,9025.0,Vagon,137,1.2,Diesel,yes,2011,Front
Nissan,26220.285,Crossover,1,2.0,Petrol,yes,2015,Front
Hyundai,15246.075,Sedan,1,1.6,Petrol,yes,2016,Front
Toyota,13621.4325,Sedan,0,1.3,Petrol,yes,2015,Front
Volkswagen,10750.0,Van,176,2.0,Diesel,yes,2012,Front
Skoda,11670.75,Hatch,1,1.2,Petrol,yes,2015,Front
Ford,15505.425,Hatch,1,1.0,Petrol,yes,2015,Front
Skoda,8000.0,Sedan,150,1.78,Petrol,yes,2004,Front
Volkswagen,29999.0,Other,129,2.0,Diesel,yes,2014,Front
Volkswagen,12900.0,Vagon,145,1.6,Diesel,yes,2011,Unknown
VAZ,850.0,Sedan,50,1.2,Petrol,yes,1986,Front
Skoda,16700.0,Sedan,98,1.8,Gas,yes,2011,Front
Chevrolet,19000.0,Crossover,124,2.4,Gas,yes,2012,Full
Volkswagen,17400.0,Sedan,73,1.8,Petrol,yes,2012,Front
Honda,18000.0,Sedan,116,2.0,Gas,yes,2011,Front
Kia,7600.0,Sedan,136,2.0,Petrol,yes,2009,Front
Volkswagen,9999.0,Van,165,1.6,Diesel,yes,2012,Unknown
Mercedes-Benz,10600.0,Van,250,2.2,Diesel,yes,2006,Rear
VAZ,1400.0,Sedan,100,1.3,Gas,yes,1990,Rear
Volkswagen,9600.0,Van,255,1.9,Diesel,yes,2004,Front
Volkswagen,5900.0,Van,278,1.9,Diesel,yes,2005,Front
Skoda,7200.0,Sedan,242,1.6,Petrol,yes,2007,Front
Nissan,18999.0,Hatch,8,2.65,Other,yes,2013,Front
Volvo,20000.0,Crossover,215,3.2,Petrol,yes,2008,Full
Mercedes-Benz,12500.0,Sedan,208,3.2,Diesel,yes,2004,Rear
Hyundai,5500.0,Hatch,135,1.6,Petrol,yes,2005,Front
Kia,8800.0,Vagon,155,1.6,Gas,yes,2007,Front
Opel,4999.0,Van,202,1.6,Gas,yes,2007,Front
Peugeot,17598.75,Vagon,0,1.6,Diesel,yes,2016,Front
BMW,7200.0,Sedan,255,2.8,Petrol,yes,1998,Rear
Mercedes-Benz,0.0,Sedan,300,2.6,Petrol,yes,2002,Rear
BMW,3099.0,Sedan,320,2.0,Diesel,no,2000,Rear
Hyundai,6750.0,Crossover,178,2.0,Diesel,no,2006,Full
Volkswagen,16999.0,Sedan,105,1.8,Petrol,yes,2011,Front
BMW,8899.0,Sedan,170,2.2,Petrol,yes,2001,Rear
Mercedes-Benz,12800.0,Other,260,2.7,Diesel,yes,2005,Rear
Mercedes-Benz,29900.0,Other,71,5.5,Petrol,yes,2007,Rear
Nissan,13600.0,Crossover,138,2.0,Petrol,yes,2008,Full
Mitsubishi,11700.0,Sedan,82,1.5,Gas,yes,2010,Unknown
Mercedes-Benz,15000.0,Crossover,185,3.7,Gas,yes,2005,Full
Mercedes-Benz,21200.0,Vagon,206,2.1,Diesel,yes,2011,Rear
Peugeot,12800.0,Hatch,56,1.6,Diesel,yes,2013,Front
Infiniti,50695.515,Crossover,1,3.7,Petrol,yes,2015,Full
Infiniti,35162.3025,Sedan,1,2.0,Petrol,yes,2014,Rear
Infiniti,46022.028,Crossover,1,2.5,Petrol,yes,2015,Full
Toyota,35500.0,Crossover,85,3.0,Diesel,yes,2012,Full
Opel,1850.0,Hatch,255,2.0,Petrol,no,2002,Front
Land Rover,45000.0,Crossover,80,5.0,Petrol,yes,2010,Full
Renault,11500.0,Vagon,170,1.5,Diesel,yes,2012,Front
Audi,51500.0,Crossover,27,3.0,Diesel,yes,2013,Full
Mitsubishi,11900.0,Crossover,129,2.5,Diesel,yes,2007,Full
Subaru,8700.0,Sedan,150,2.0,Petrol,yes,2006,Full
Jeep,9500.0,Other,257,2.5,Diesel,yes,1997,Full
Nissan,21900.0,Crossover,30,1.2,Petrol,yes,2015,Front
Skoda,12800.0,Sedan,135,1.8,Petrol,yes,2011,Front
Renault,8700.0,Hatch,100,1.5,Diesel,yes,2010,Unknown
Skoda,20700.0,Hatch,71,1.8,Petrol,yes,2014,Front
Volkswagen,20500.0,Hatch,56,2.0,Diesel,yes,2014,Front
Renault,6500.0,Van,186,1.5,Diesel,yes,2012,Front
Nissan,15800.0,Crossover,56,2.0,Petrol,yes,2012,Full
Dacia,2700.0,Hatch,138,1.4,Petrol,yes,2004,Front
Volkswagen,6000.0,Van,180,2.0,Diesel,yes,2008,Front
Volkswagen,10000.0,Van,71,1.2,Petrol,yes,2013,Front
Nissan,6999.0,Sedan,85,1.6,Petrol,yes,2009,Front
Renault,11999.0,Hatch,65,1.5,Diesel,yes,2014,Front
Volkswagen,13999.0,Crossover,150,2.5,Diesel,yes,2005,Full
Mitsubishi,14500.0,Crossover,90,3.0,Petrol,yes,2008,Full
Lexus,16700.0,Sedan,125,3.5,Other,yes,2007,Front
Volkswagen,11200.0,Crossover,1,4.2,Petrol,yes,2004,Full
Mercedes-Benz,6100.0,Sedan,280,2.65,Gas,yes,1999,Rear
Volkswagen,9000.0,Sedan,51,1.6,Petrol,yes,2013,Front
Daewoo,4500.0,Hatch,38,0.8,Petrol,yes,2013,Front
Mitsubishi,15999.0,Crossover,149,3.0,Gas,yes,2008,Full
Volkswagen,15500.0,Crossover,167,3.2,Petrol,yes,2006,Full
Toyota,9150.0,Hatch,87,1.6,Petrol,yes,2008,Front
Daewoo,0.0,Hatch,130,0.8,Petrol,yes,2008,Front
Daewoo,3999.0,Sedan,107,1.4,Gas,yes,2008,Front
Porsche,29900.0,Other,31,3.4,Petrol,yes,2007,Rear
Porsche,115000.0,Other,7,3.8,Petrol,yes,2013,Full
Maserati,110000.0,Other,11,4.7,Petrol,yes,2014,Rear
Toyota,21500.0,Crossover,89,2.0,Petrol,yes,2012,Full
Mitsubishi,12000.0,Crossover,130,3.0,Gas,yes,2007,Full
Lexus,20300.0,Crossover,128,3.5,Gas,yes,2007,Full
Skoda,20500.0,Sedan,0,1.4,Petrol,yes,2016,Front
Toyota,12900.0,Sedan,137,2.4,Petrol,yes,2008,Front
Audi,33500.0,Sedan,42,2.0,Petrol,yes,2013,Full
Skoda,23000.0,Sedan,0,1.8,Petrol,yes,2016,Front
Skoda,22000.0,Sedan,0,1.4,Petrol,yes,2016,Front
Renault,0.0,Other,179,2.5,Diesel,yes,2011,Front
Hyundai,8000.0,Sedan,98,1.4,Petrol,yes,2011,Front
Chrysler,13700.0,Other,130,7.0,Petrol,yes,2005,Rear
Chevrolet,10200.0,Sedan,118,1.8,Petrol,yes,2011,Front
Audi,36500.0,Crossover,115,3.0,Diesel,yes,2010,Full
BMW,34400.0,Crossover,37,2.0,Diesel,yes,2013,Full
Renault,5600.0,Vagon,151,1.5,Diesel,yes,2006,Front
Lexus,21000.0,Crossover,180,3.5,Gas,yes,2006,Full
Daewoo,3750.0,Hatch,160,2.65,Gas,yes,2003,Front
Skoda,13750.0,Vagon,155,1.6,Diesel,yes,2012,Unknown
Audi,35500.0,Crossover,130,3.0,Diesel,yes,2010,Full
Opel,4500.0,Van,315,1.7,Diesel,yes,2003,Front
Opel,3300.0,Sedan,280,2.0,Petrol,yes,1989,Front
Skoda,7550.0,Sedan,114,1.6,Petrol,yes,2007,Front
Daewoo,4700.0,Sedan,452,1.3,Gas,yes,2012,Front
BMW,34500.0,Other,160,3.0,Diesel,yes,2011,Full
BMW,14600.0,Sedan,116,2.5,Diesel,yes,2004,Rear
Audi,3300.0,Vagon,300,2.5,Diesel,no,1999,Front
Ford,7300.0,Hatch,131,1.4,Petrol,yes,2010,Front
Mitsubishi,8350.0,Sedan,98,1.5,Petrol,yes,2010,Front
Volkswagen,18900.0,Sedan,75,1.8,Petrol,yes,2011,Front
Audi,9800.0,Vagon,257,2.5,Diesel,yes,2003,Front
Audi,9600.0,Vagon,230,2.5,Diesel,yes,2004,Front
Mercedes-Benz,15900.0,Sedan,216,5.0,Petrol,yes,2007,Rear
Honda,5700.0,Sedan,200,1.7,Gas,yes,2002,Full
Volkswagen,9400.0,Vagon,176,1.9,Diesel,yes,2005,Unknown
Mercedes-Benz,0.0,Sedan,322,2.7,Diesel,no,2000,Rear
Renault,5800.0,Vagon,200,1.46,Diesel,yes,2008,Unknown
Subaru,19900.0,Crossover,140,2.5,Petrol,yes,2011,Full
Volkswagen,10999.0,Van,95,1.6,Diesel,yes,2012,Front
Volkswagen,15200.0,Van,132,2.5,Diesel,yes,2009,Front
Opel,5500.0,Van,287,1.7,Diesel,yes,2003,Front
Renault,7500.0,Van,43,1.5,Diesel,yes,2013,Front
Renault,10950.0,Vagon,180,1.5,Diesel,yes,2011,Front
Volkswagen,8900.0,Van,264,2.5,Diesel,yes,2003,Front
Renault,11990.0,Van,210,1.1,Diesel,yes,2010,Front
Volkswagen,6550.0,Sedan,150,1.6,Petrol,yes,2001,Front
Volkswagen,15900.0,Sedan,103,2.65,Petrol,yes,2012,Front
Toyota,18999.0,Crossover,153,2.7,Gas,yes,2006,Full
Chevrolet,5800.0,Sedan,145,1.5,Gas,yes,2008,Front
Toyota,14100.0,Sedan,113,2.4,Gas,yes,2009,Front
Audi,19300.0,Sedan,113,1.8,Petrol,yes,2009,Front
Nissan,4300.0,Sedan,152,2.65,Diesel,yes,1997,Front
Toyota,68000.0,Crossover,67,4.5,Diesel,yes,2012,Full
BMW,4300.0,Sedan,200,2.0,Diesel,no,2002,Rear
BMW,29000.0,Sedan,170,2.0,Diesel,yes,2011,Rear
BMW,2900.0,Vagon,230,2.0,Diesel,no,2001,Rear
Audi,9900.0,Vagon,284,2.5,Diesel,yes,2004,Full
BMW,10800.0,Sedan,246,3.0,Diesel,yes,2003,Rear
BMW,10900.0,Sedan,245,3.0,Diesel,yes,2003,Rear
Volkswagen,25900.0,Hatch,35,2.0,Diesel,yes,2015,Front
ZAZ,1900.0,Hatch,189,1.3,Gas,yes,2004,Front
Toyota,8800.0,Sedan,300,2.4,Petrol,yes,2004,Front
Mercedes-Benz,6800.0,Van,242,2.2,Diesel,yes,1999,Front
Hyundai,13900.0,Sedan,75,1.6,Petrol,yes,2012,Front
Toyota,13000.0,Hatch,42,1.3,Petrol,yes,2013,Unknown
Porsche,99999.0,Crossover,1,3.0,Diesel,yes,2016,Full
Audi,49700.0,Crossover,80,3.0,Diesel,yes,2013,Full
Ford,11950.0,Sedan,53,1.6,Gas,yes,2013,Front
Toyota,6400.0,Sedan,250,3.0,Gas,yes,1998,Front
BMW,49000.0,Sedan,58,4.4,Other,yes,2011,Rear
Ford,23071.035,Sedan,1,1.5,Petrol,yes,2015,Front
Volkswagen,7950.0,Van,144,2.0,Gas,yes,2012,Front
Ford,6700.0,Vagon,143,1.6,Gas,yes,2007,Front
Volkswagen,20477.535,Van,1,1.6,Diesel,yes,2015,Front
Volkswagen,7500.0,Van,280,1.6,Diesel,yes,2011,Front
Volvo,26500.0,Crossover,164,2.4,Diesel,yes,2011,Full
Toyota,28900.0,Crossover,83,3.5,Gas,yes,2012,Full
Volkswagen,9900.0,Van,230,1.9,Diesel,yes,2008,Front
Smart,4300.0,Other,108,0.6,Petrol,yes,2002,Rear
Volkswagen,6200.0,Sedan,161,4.2,Gas,no,2004,Full
Volkswagen,7900.0,Other,123,1.4,Petrol,yes,2008,Front
Lexus,15000.0,Crossover,250,3.0,Gas,yes,2003,Full
Nissan,27000.0,Van,14,1.6,Diesel,yes,2015,Full
Mercedes-Benz,18300.0,Sedan,155,3.0,Petrol,yes,2007,Rear
Infiniti,40700.0,Crossover,34,3.7,Petrol,yes,2013,Full
Skoda,10300.0,Sedan,185,1.8,Gas,yes,2007,Front
Volkswagen,8900.0,Sedan,185,1.6,Petrol,yes,2007,Front
Hyundai,0.0,Crossover,39,2.2,Diesel,yes,2012,Full
Skoda,7100.0,Sedan,157,1.6,Petrol,yes,2006,Front
Volkswagen,15880.0,Vagon,139,1.4,Gas,yes,2011,Front
Volkswagen,19300.0,Sedan,136,2.0,Diesel,yes,2011,Front
BMW,46000.0,Sedan,5,2.0,Petrol,yes,2016,Rear
BMW,37000.0,Sedan,95,4.4,Petrol,yes,2011,Full
Porsche,19100.0,Crossover,211,4.5,Petrol,yes,2006,Full
Renault,6300.0,Van,180,1.5,Diesel,yes,2012,Front
Volkswagen,9000.0,Other,212,2.0,Gas,yes,2007,Front
VAZ,4300.0,Hatch,137,1.4,Gas,yes,2010,Front
Peugeot,6900.0,Hatch,132,1.4,Gas,yes,2010,Front
Toyota,13300.0,Sedan,152,2.0,Petrol,yes,2009,Front
Mercedes-Benz,11900.0,Van,277,2.2,Diesel,yes,2007,Rear
Volkswagen,12800.0,Van,230,2.0,Diesel,yes,2011,Front
Volkswagen,8400.0,Sedan,230,1.8,Gas,yes,2003,Front
Volkswagen,7500.0,Sedan,240,1.8,Petrol,yes,2002,Front
Dodge,19000.0,Other,95,5.7,Other,yes,2007,Full
Chevrolet,7800.0,Sedan,163,2.0,Gas,yes,2008,Front
Mercedes-Benz,10999.0,Other,185,2.65,Diesel,yes,2005,Rear
BMW,47000.0,Other,5,2.0,Petrol,yes,2014,Rear
Skoda,7850.0,Hatch,44,1.2,Petrol,yes,2012,Front
Skoda,7600.0,Vagon,119,1.4,Other,yes,2008,Unknown
Renault,14200.0,Crossover,83,2.0,Diesel,yes,2012,Full
Hyundai,14300.0,Crossover,127,2.7,Gas,yes,2008,Full
Audi,7000.0,Vagon,210,3.0,Diesel,no,2006,Full
Skoda,5400.0,Vagon,220,1.2,Petrol,yes,2004,Front
Nissan,7400.0,Sedan,142,1.6,Gas,yes,2010,Front
Audi,18300.0,Vagon,190,2.0,Diesel,yes,2011,Front
Skoda,15200.0,Sedan,98,1.8,Petrol,yes,2011,Front
ZAZ,6300.0,Hatch,41,1.5,Petrol,yes,2012,Front
Opel,4700.0,Van,260,1.3,Diesel,yes,2010,Front
Hyundai,11900.0,Crossover,133,2.2,Diesel,yes,2008,Full
Volkswagen,10999.0,Van,110,1.6,Diesel,yes,2012,Front
Jaguar,48720.75,Sedan,0,2.0,Petrol,yes,2015,Rear
Volkswagen,12500.0,Vagon,96,2.65,Petrol,yes,2010,Front
Infiniti,50695.515,Crossover,0,3.7,Petrol,yes,2015,Full
Subaru,38800.0,Crossover,0,2.65,Diesel,yes,2016,Full
Renault,10000.0,Other,214,2.5,Diesel,yes,2008,Front
Infiniti,57756.8745,Crossover,1,3.0,Diesel,yes,2016,Full
Peugeot,12000.0,Hatch,23,1.6,Petrol,yes,2012,Front
Audi,27500.0,Sedan,150,2.0,Petrol,yes,2013,Full
Infiniti,93147.405,Crossover,1,5.6,Petrol,yes,2016,Full
Audi,3500.0,Sedan,35,1.8,Gas,yes,1990,Front
Volkswagen,8500.0,Sedan,87,1.6,Petrol,yes,2011,Front
Mercedes-Benz,12000.0,Van,230,2.2,Diesel,yes,2008,Rear
Mercedes-Benz,39900.0,Hatch,2,2.65,Other,yes,2015,Front
Daewoo,3200.0,Sedan,190,1.5,Petrol,yes,2001,Front
Porsche,52000.0,Crossover,88,3.6,Petrol,yes,2012,Full
Volkswagen,74500.0,Crossover,0,3.0,Diesel,yes,2015,Full
Nissan,6300.0,Sedan,216,2.0,Gas,yes,2004,Front
Ford,9200.0,Hatch,87,1.6,Petrol,yes,2010,Front
Tesla,178500.0,Crossover,0,2.65,Other,yes,2016,Full
BYD,13999.0,Crossover,14,2.4,Gas,yes,2013,Front
Porsche,25000.0,Crossover,130,3.0,Diesel,no,2012,Full
Land Rover,119000.0,Crossover,38,4.4,Diesel,yes,2013,Full
Volkswagen,3300.0,Sedan,250,1.9,Diesel,no,2000,Front
Land Rover,24777.0,Crossover,198,4.2,Gas,yes,2008,Full
Honda,7899.0,Sedan,170,2.0,Gas,yes,2005,Front
BMW,4550.0,Sedan,200,2.8,Petrol,no,1997,Rear
Audi,2700.0,Sedan,234,2.5,Other,no,2000,Front
Mazda,8600.0,Sedan,134,1.6,Petrol,yes,2008,Front
Nissan,14999.0,Crossover,70,2.0,Petrol,yes,2010,Front
ZAZ,1450.0,Hatch,112,1.2,Petrol,yes,2003,Front
Mazda,12150.0,Sedan,105,2.0,Petrol,yes,2009,Front
Peugeot,12900.0,Van,94,1.6,Diesel,yes,2012,Unknown
Kia,12599.0,Hatch,91,1.6,Petrol,yes,2012,Front
Hyundai,5950.0,Hatch,98,1.6,Petrol,yes,2008,Front
Hyundai,11999.0,Hatch,42,1.6,Petrol,yes,2013,Unknown
Lexus,14700.0,Sedan,128,3.0,Petrol,yes,2006,Full
Lexus,17200.0,Crossover,212,4.7,Petrol,yes,2004,Full
BMW,31800.0,Sedan,115,3.0,Diesel,yes,2010,Rear
VAZ,4750.0,Vagon,69,1.4,Gas,yes,2012,Front
Mitsubishi,19800.0,Crossover,67,2.0,Gas,yes,2013,Unknown
Hyundai,14800.0,Sedan,52,2.65,Petrol,yes,2012,Front
Porsche,18300.0,Crossover,110,4.5,Gas,yes,2006,Full
Toyota,12700.0,Sedan,130,2.4,Petrol,yes,2008,Front
Renault,13900.0,Crossover,111,2.5,Gas,yes,2010,Full
Audi,26000.0,Sedan,105,2.0,Petrol,yes,2012,Front
Ford,7500.0,Other,157,1.8,Diesel,yes,2008,Front
ZAZ,1800.0,Hatch,23,1.2,Petrol,yes,2009,Front
Audi,9500.0,Other,0,2.65,Other,yes,2003,Unknown
Hyundai,11200.0,Sedan,57,1.4,Gas,yes,2011,Unknown
Skoda,16300.0,Sedan,103,1.8,Petrol,yes,2012,Front
Volkswagen,29800.0,Hatch,0,2.0,Diesel,yes,2015,Front
Suzuki,3100.0,Hatch,140,1.0,Gas,yes,1999,Front
Volkswagen,27000.0,Other,90,2.0,Diesel,yes,2014,Full
Audi,5000.0,Sedan,280,2.3,Gas,yes,1992,Front
Porsche,22900.0,Crossover,117,4.8,Petrol,yes,2007,Full
Audi,9800.0,Vagon,253,1.9,Diesel,yes,2002,Front
Toyota,13400.0,Sedan,125,2.4,Petrol,yes,2008,Front
Volkswagen,20200.0,Hatch,22,1.2,Petrol,yes,2014,Front
Bentley,259000.0,Sedan,0,6.0,Petrol,yes,2014,Full
Audi,44800.0,Crossover,95,3.0,Diesel,yes,2014,Full
BMW,17100.0,Crossover,188,3.0,Diesel,yes,2004,Full
Daewoo,3250.0,Sedan,180,1.5,Petrol,yes,2012,Front
Volkswagen,6500.0,Van,290,1.9,Diesel,yes,2004,Front
Ford,5900.0,Sedan,200,2.5,Petrol,yes,2001,Front
Volkswagen,12500.0,Sedan,118,1.6,Diesel,yes,2011,Front
Renault,7400.0,Van,181,2.0,Diesel,yes,2007,Front
Nissan,14500.0,Crossover,149,2.65,Other,yes,2010,Unknown
Daewoo,4999.0,Hatch,80,1.5,Petrol,yes,2013,Front
Volkswagen,12500.0,Van,207,1.9,Diesel,yes,2007,Front
Volkswagen,9999.0,Van,310,2.5,Diesel,yes,2007,Front
